Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,CEMENT AND CEMENT PRODUCTS,ACC,EQ,INE012A01025
Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
Asian Paints Ltd.,PAINTS,ASIANPAINT,EQ,INE021A01018
Axis Bank Ltd.,BANKS,AXISBANK,EQ,INE238A01026
Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,BAJAJ-AUTO,EQ,INE917I01010
Bank of Baroda,BANKS,BANKBARODA,EQ,INE028A01013
Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,BHEL,EQ,INE257A01026
Bharat Petroleum Corporation Ltd.,REFINERIES,BPCL,EQ,INE029A01011
Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,BHARTIARTL,EQ,INE397D01024
Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,CAIRN,EQ,INE910H01017
Cipla Ltd.,PHARMACEUTICALS,CIPLA,EQ,INE059A01026
Coal India Ltd.,MINING,COALINDIA,EQ,INE522F01014
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023
Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,DRREDDY,EQ,INE089A01023
GAIL (India) Ltd.,GAS,GAIL,EQ,INE129A01019
Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,GRASIM,EQ,INE047A01013
HCL Technologies Ltd.,COMPUTERS - SOFTWARE,HCLTECH,EQ,INE860A01027
HDFC Bank Ltd.,BANKS,HDFCBANK,EQ,INE040A01026
Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,HEROMOTOCO,EQ,INE158A01026
Hindalco Industries Ltd.,ALUMINIUM,HINDALCO,EQ,INE038A01020
Hindustan Unilever Ltd.,DIVERSIFIED,HINDUNILVR,EQ,INE030A01027
Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,HDFC,EQ,INE001A01036
I T C Ltd.,CIGARETTES,ITC,EQ,INE154A01025
ICICI Bank Ltd.,BANKS,ICICIBANK,EQ,INE090A01013
Infosys Ltd.,COMPUTERS - SOFTWARE,INFY,EQ,INE009A01021
Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,IDFC,EQ,INE043D01016
Jaiprakash Associates Ltd.,CONSTRUCTION,JPASSOCIAT,EQ,INE455F01025
Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,JINDALSTEL,EQ,INE749A01030
Kotak Mahindra Bank Ltd.,BANKS,KOTAKBANK,EQ,INE237A01028
Larsen & Toubro Ltd.,ENGINEERING,LT,EQ,INE018A01030
Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,M&M,EQ,INE101A01026
Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,MARUTI,EQ,INE585B01010
NTPC Ltd.,POWER,NTPC,EQ,INE733E01010
Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,ONGC,EQ,INE213A01029
Power Grid Corporation of India Ltd.,POWER,POWERGRID,EQ,INE752E01010
Punjab National Bank,BANKS,PNB,EQ,INE160A01014
Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,RANBAXY,EQ,INE015A01028
Reliance Industries Ltd.,REFINERIES,RELIANCE,EQ,INE002A01018
Reliance Infrastructure Ltd.,POWER,RELINFRA,EQ,INE036A01016
Sesa Goa Ltd.,MINING,SESAGOA,EQ,INE205A01025
Siemens Ltd.,ELECTRICAL EQUIPMENT,SIEMENS,EQ,INE003A01024
State Bank of India,BANKS,SBIN,EQ,INE062A01012
Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,SAIL,EQ,INE114A01011
Sterlite Industries (India) Ltd.,METALS,STER,EQ,INE268A01049
Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,SUNPHARMA,EQ,INE044A01036
Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,TCS,EQ,INE467B01029
Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,TATAMOTORS,EQ,INE155A01022
Tata Power Co. Ltd.,POWER,TATAPOWER,EQ,INE245A01021
Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,TATASTEEL,EQ,INE081A01012
Wipro Ltd.,COMPUTERS - SOFTWARE,WIPRO,EQ,INE075A01022